Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Kerstin,Emanuelsson,Grangatan 872,Sandviken,15672,Sverige,SE,19990805-0601,+46,08-144 721 06,1999-08-05,True
Olov,Henningsson,Industristigen 339,Karlskoga,96295,Sverige,SE,19571029-3932,+46,+46 (0)94 79 37 17,1957-10-29,True
Wilhelm,Ekman,Storvägen 178,Göteborg,40414,Sverige,SE,19460114-5257,+46,+46 (0)293 875 65,1946-01-14,True
Elisabeth,Johansson,Genstigen 790,Göteborg,25277,Sverige,SE,19460301-3492,+46,+46 (0)8 590 907 64,1946-03-01,True
Jonas,Nygård,Henriksenstubben 88,Karolinefjell,2374,Norge,NO,19660601-0745,+47,958 86 569,1966-06-01,True
Zahra,Larsson,Skolvägen 7,Varberg,61458,Sverige,SE,19410615-4530,+46,015-866 19 98,1941-06-15,True
Arvid,Lilja,Järnvägsvägen 442,Göteborg,14090,Sverige,SE,19680710-5442,46,08-757 19 19,1968-07-10,True
Sofie,Bergström,Skogsvägen 6,Växjö,80478,Sverige,SE,19810215-3819,+46,+46 (0)215 414 00,1981-02-15,True
Anders,Rønning,Lundeløkka 63,Reidunhavn,2857,Norge,NO,19640129-9117,+47,39728646,1964-01-29,True
Carina,Näslund,Järnvägsgatan 5,Luleå,72798,Sverige,SE,19880903-1518,+46,070-338 50 09,1988-09-03,True
Anna,Emanuelsson,Kyrkgatan 38,Jönköping,87124,Sverige,SE,20000617-6309,+46,08-18 73 46,2000-06-17,False
Jens,Jørgensen,Sørensentoppen 896,Moe,7049,Norge,NO,19680717-1825,+47,+4790951480,1968-07-17,True
Anita,Lindström,Parkgränd 5,Linköping,24553,Sverige,SE,19410103-0473,+46,066-405 80 57,1941-01-03,True
Harry,Nilsson,Villagatan 7,Halmstad,87248,Sverige,SE,19441219-4985,+46,08-534 926 60,1944-12-19,True
Michael,Rose,Davis Oval 003,Port Gabrielle,45776,Danmark,DK,19820423-3180,+45,4524629206,1982-04-23,True
Melissa,Harris,Fischer Extension 7056,Timothyport,87322,Danmark,DK,19901103-5419,+45,(376)613-1719x7160,1990-11-03,True
Johanna,Larsson,Åkergatan 9,Falun,80438,Sverige,SE,19740602-9500,+46,0177-778 22,1974-06-02,True
Anders,Persson,Björkgatan 422,Halmstad,64700,Sverige,SE,19610413-9656,+46,08-19 10 91,1961-04-13,True
Hans,Eriksson,Kvarnvägen 0,Kristianstad,74744,Sverige,SE,19500626-1544,+46,080-10 35 26,1950-06-26,True
Anthony,Moore,Julie Mount 900,West Ashleyland,35178,Danmark,DK,19610616-9427,+45,001-694-215-1958x77256,1961-06-16,True
Elias,Eliasson,Kyrkstigen 914,Piteå,13215,Sverige,SE,19510726-6388,+46,017-151 89 98,1951-07-26,True
Heather,Rogers,Michael Run 2453,South Daniel,49009,Danmark,DK,19850905-1264,+45,5807259180,1985-09-05,True
Esther,Andersson,Backgatan 19,Trelleborg,47618,Sverige,SE,19760521-2273,+46,0069-830 34,1976-05-21,True
Marie,Pettersson,Parkvägen 7,Lund,32129,Sverige,SE,19830927-7734,+46,057-55 58 49,1983-09-27,True
Herman,Pettersson,Nytorget 3,Halmstad,81993,Sverige,SE,19500925-0989,+46,08-182 71 94,1950-09-25,True
Jonas,Bergman,Nygatan 9,Norrköping,84002,Sverige,SE,19851012-0104,+46,+46 (0)75 39 72 44,1985-10-12,True
Monica,Kristoffersen,Johannessenholtet 9,Mayvær,4647,Norge,NO,19620412-4180,+47,48584739,1962-04-12,True
Anita,Hansson,Furugatan 1,Västerås,12507,Sverige,SE,19830407-8276,+46,+46 (0)47 67 82 02,1983-04-07,True
Eivind,Sivertsen,Lientunet 3,Amundsen,4074,Norge,NO,19490526-3624,+47,462 05 001,1949-05-26,True
Matilda,Sandström,Åkerstigen 7,Örebro,84622,Sverige,SE,19830201-7822,+46,08-185 217 55,1983-02-01,True
Hanna,Karlsson,Idrottsstigen 5,Skellefteå,39493,Sverige,SE,19610722-6762,+46,0653-95 75 06,1961-07-22,True
Samuel,Young,Gonzalez Plaza 6807,West Jessicaview,72919,Danmark,DK,19920721-2858,+45,3017398124,1992-07-21,True
Hilde,Gundersen,Thomassenløkka 2,Pålsjøen,4669,Norge,NO,19461202-6170,+47,+47 02 18 44 29,1946-12-02,True
Ingvar,Gashi,Stationsvägen 425,Borlänge,45785,Sverige,SE,19811027-4460,+46,0553-262 08,1981-10-27,True
Rafael,Pettersson,Backgatan 4,Sundsvall,72088,Sverige,SE,19460420-0254,+46,+46 (0)71 54 51 03,1946-04-20,False
Brandon,Ibarra,Flores Estates 29191,Ericshire,16678,Danmark,DK,19811024-1184,+45,+1-353-550-4310,1981-10-24,True
Kurt,Lindqvist,Fabriksgatan 3,Piteå,73189,Sverige,SE,19910324-7121,+46,08-932 264 97,1991-03-24,True
Maria,Hirvonen,Puroniitynbulevardi 098,Lapua,24535,Finland,FI,19700627-881K,+358,+358666048101,1970-06-27,True
Joel,Bergqvist,Backstigen 766,Nyköping,84862,Sverige,SE,19870822-7174,+46,0440-885 72,1987-08-22,True
Birgitta,Sjöholm,Strandvägen 1,Piteå,12758,Sverige,SE,19980816-9323,+46,+46 (0)761 010 05,1998-08-16,True
Elisabeth,Andersson,Villagränd 4,Lund,52049,Sverige,SE,19731209-7983,+46,+46 (0)618 996 20,1973-12-09,True
Hans,Ekström,Ängsstigen 4,Luleå,16842,Sverige,SE,19621015-2938,+46,+46 (0)92 26 81 42,1962-10-15,True
Elizabeth,Doyle,Theresa Roads 245,Evansfurt,68843,Danmark,DK,19630220-9391,+45,+1-328-235-1443,1963-02-20,True
Karin,Lindblom,Backtorget 02,Kristianstad,90978,Sverige,SE,19490926-1949,+46,+46 (0)8 275 167 70,1949-09-26,True
Christian,Karlsson,Kyrkogatan 721,Falun,37679,Sverige,SE,19610505-2404,+46,+46 (0)87 77 33 12,1961-05-05,True
Christina,Brink,Backstigen 7,Lund,64418,Sverige,SE,19590409-8814,+46,044-129 18 66,1959-04-09,True
Markus,Johansson,Industristigen 119,Göteborg,20447,Sverige,SE,19890623-6796,+46,08-102 430 58,1989-06-23,True
Tina,Sundqvist,Kvarnstigen 57,Malmö,19974,Sverige,SE,19601018-6775,+46,08-791 390 48,1960-10-18,True
Anneli,Ahmed,Storgatan 7,Södertälje,50852,Sverige,SE,19930729-4172,+46,08-209 48 72,1993-07-29,True
Sam,Bylund,Kyrkgatan 8,Kristianstad,18786,Sverige,SE,19801028-2580,+46,+46 (0)408 145 09,1980-10-28,True
Vera,Jacobsson,Backstigen 30,Västerås,92628,Sverige,SE,19970812-8386,+46,+46 (0)8 897 670 17,1997-08-12,True
Arne,Folkesson,Strandgatan 4,Nyköping,80665,Sverige,SE,19401022-1781,+46,040-88 52 95,1940-10-22,True
Linda,Hall,Herring Isle 13333,New Kennethfort,63849,Danmark,DK,19981129-2549,+45,(713)743-0549x236,1998-11-29,True
Melvin,Jansson,Skolvägen 459,Kristianstad,98187,Sverige,SE,19991123-9415,+46,0142-97 30 44,1999-11-23,True
Thor,Lunde,Pettersengrenda 23H,Lie,1583,Norge,NO,19981001-1520,+47,469 19 430,1998-10-01,True
Benjamin,Holopainen,Agricolantie 84,Rautjärvi,43994,Finland,FI,19690629-2068,+358,+358533472901,1969-06-29,True
Astrid,Engen,Nguyenstien 8D,Thomassen,6749,Norge,NO,19480714-8933,+47,+4738499932,1948-07-14,True
Eirik,Solberg,Eriksenåsen 3,Andresen,8410,Norge,NO,19850617-1623,+47,06 52 53 87,1985-06-17,True
Stefan,Karlsson,Kyrkogränd 36,Varberg,50302,Norge,SE,19590602-6772,+46,005-818 11 92,1959-06-02,True
Elin,Johansson,Industrigatan 9,Karlstad,82719,Sverige,SE,19990823-9806,+46,0442-096 54,1999-08-23,True
Morgan,Reed,Moore Unions 66193,Deniseside,41563,Danmark,DK,19710116-2768,+45,+1-494-222-5981x172,1971-01-16,True
Birgitta,Strand,Strandgatan 33,Karlskrona,91299,Sverige,SE,19460618-0448,+46,030-93 12 44,1946-06-18,True
Molly,Svensson,Åkergatan 12,Helsingborg,67406,Sverige,SE,19850404-1128,+46,0999-886 78,1985-04-04,False
Hanna,Lehto,Iltaruskonkuja 928,Pöytyä,81923,Finland,FI,19461210-193W,+358,066 582 6559,1946-12-10,True
Katrina,Ford,Caroline Ridge 2615,Frederickville,95067,Danmark,DK,19661114-7373,+45,218.974.9013,1966-11-14,True
Margareta,Carlsson,Björkvägen 55,Kristianstad,94660,Sverige,SE,19990329-4494,+46,025-687 04 37,1999-03-29,True
Elisabeth,Henriksson,Villavägen 33,Västerås,36065,Sverige,SE,19950929-8189,+46,095-360 76 00,1995-09-29,True
Julia,Norlin,Nygatan 60,Landskrona,87059,Sverige,SE,19770422-9068,+46,023-146 03 23,1977-04-22,True
Malgorzata,Anderberg,Kyrkvägen 505,Sandviken,42120,Sverige,SE,19930528-7595,+46,0669-929 77,1993-05-28,True
Monica,Bridges,Gibson Rue 98454,East Kyle,71200,Danmark,DK,19900509-7489,+45,405.649.1042,1990-05-09,True
Christina,Björk,Kvarnvägen 34,Nyköping,60028,Sverige,SE,19791230-4234,+46,08-073 18 79,1979-12-30,True
Jørgen,Hauge,Bøemyra 67B,Berg,9013,Norge,NO,19930626-5751,+47,919 28 870,1993-06-26,True
Susanna,Helminen,Kimalaisbulevardi 6,Kirkkonummi,93917,Finland,FI,19540618-5684,+358,+358173041304,1954-06-18,True
Matias,Ojala,Ylä-Fallin katu 262,Lahti,38387,Finland,FI,19440104-4186,+358,+358 50 6365662,1944-01-04,True
Robert,Kim,Susan Parkway 76324,Stephenfurt,83765,Danmark,DK,19991024-3107,+45,001-343-776-6320x074,1999-10-24,True
Elis,Åberg,Ekgränd 739,Sandviken,29668,Sverige,SE,19921229-3253,+46,+46 (0)8 874 953 64,1992-12-29,True
Linn,Amundsen,Sørensenlyngen 071,Bakken,2028,Norge,NO,19471231-4299,+47,+47 13 82 41 80,1947-12-31,True
Jens,Gustafsson,Trädgårdsgatan 859,Helsingborg,25933,Sverige,SE,19651108-9274,+46,+46 (0)05 44 18 02,1965-11-08,True
Richard,Wheeler,Maria Squares 46330,Howellview,38458,Danmark,DK,19740611-5112,+45,001-962-601-9437,1974-06-11,True
Dante,Svahn,Skolgatan 546,Varberg,12174,Sverige,SE,19750805-2391,+46,085-85 53 01,1975-08-05,True
Marianne,Larsson,Stationsgatan 03,Piteå,19607,Sverige,SE,19810423-8368,+46,08-383 772 98,1981-04-23,True
Anna,Söderqvist,Bäckgatan 36,Umeå,62283,Sverige,SE,19841020-6108,+46,08-11 98 40,1984-10-20,True
Felix,Jörgensen,Backstigen 99,Karlskrona,69047,Sverige,SE,19570514-3266,46,+46 (0)369 522 60,1957-05-14,True
Maarit,Laaksonen,Järkälebulevardi 04,Ylivieska,61415,Finland,FI,19820604-4825,+358,(+358) 891245863,1982-06-04,True
Jesper,Nygren,Idrottstorget 0,Södertälje,63239,Sverige,SE,19630815-8030,+46,0163-655 48,1963-08-15,True
Erling,Karlsson,Industrigatan 55,Västerås,46207,Sverige,SE,19781220-3645,+46,+46 (0)33 31 10 65,1978-12-20,True
Peter,Andersson,Ringstigen 895,Skövde,88493,Sverige,SE,19680828-4540,+46,+46 (0)299 290 25,1968-08-28,True
Victoria,Frid,Parktorget 144,Umeå,91836,Sverige,SE,19930622-9332,+46,08-84 98 94,1993-06-22,True
Lovisa,Hermansson,Genvägen 85,Piteå,20525,Sverige,SE,19830204-9928,+46,0818-37 91 30,1983-02-04,True
Bo,Falk,Aspgatan 7,Örebro,83748,Sverige,SE,19570911-4311,+46,0886-327 07,1957-09-11,True
Ann-Charlotte,Nordlund,Backgatan 717,Stockholm,36617,Sverige,SE,19900307-5756,+46,006-457 57 98,1990-03-07,True
Sofie,Jakobsson,Parkgatan 593,Helsingborg,95669,Sverige,SE,19690111-7362,+46,08-28 33 34,1969-01-11,True
Kjell,Rydberg,Stortorget 961,Västerås,93722,Sverige,SE,19570129-5576,+46,08-45 62 66,1957-01-29,True
Stefan,Bolin,Fabriksgatan 26,Sundsvall,20255,Sverige,SE,19480911-9420,+46,0463-39 48 07,1948-09-11,True
Christina,Nilsson,Kyrkovägen 9,Eskilstuna,32818,Sverige,SE,19540813-4462,+46,08-870 71 39,1954-08-13,True
Silje,Solberg,Sæthervollen 8,Berntsen,2289,Norge,NO,19520222-5551,+47,99140788,1952-02-22,True
Kurt,Johansson,Kvarnvägen 86,Ängelholm,41957,Sverige,SE,19850825-0817,+46,0642-043 82,1985-08-25,True
Thomas,Johnson,Jerry Run 0186,East Michaelville,02752,Danmark,DK,19781014-1773,+45,940.292.3029,1978-10-14,True
Gina,Williams,Madison Square 988,West Robin,28359,Danmark,DK,19500505-6915,+45,371-857-7037x58417,1950-05-05,True
Kenneth,Bakken,Jacobsengata 3,Anneby,2546,Norge,NO,19871223-7324,+47,98 83 19 57,1987-12-23,True
Jesse,Martinez,Lee Mill 785,Port Sonya,87223,Danmark,DK,19750809-9322,+45,221-513-4317x08160,1975-08-09,True
Adrian,Strøm,Nielsenhagen 85,Frodehelle,5525,Norge,NO,19960422-4860,+47,+47 66 92 59 07,1996-04-22,True
Christoffer,Johansson,Stationsvägen 10,Uddevalla,33755,Sverige,SE,19830727-7983,+46,075-116 10 44,1983-07-27,True
Christopher,Gray,Zoe Hill 8773,Ashleyport,49961,Danmark,DK,19931009-8080,+45,001-530-863-9494,1993-10-09,True
Eva,Larsson,Ringstigen 06,Mölndal,19585,Sverige,SE,19400114-6323,+46,08-267 328 39,1940-01-14,True
Gert,Holmström,Kyrkovägen 98,Mölndal,83269,Sverige,SE,19430326-0388,+46,084-82 50 05,1943-03-26,True
Benny,Abrahamsson,Fabrikstorget 723,Luleå,45434,Sverige,SE,19500613-4936,+46,0088-734 16,1950-06-13,True
Deborah,Harmon,Davis Fords 7794,Mcdonaldchester,02305,Danmark,DK,19720918-8312,+45,719.307.4188x9830,1972-09-18,True
Eric,Engström,Stationsgatan 3,Kalmar,73289,Sverige,SE,19800911-7128,+46,08-916 77 12,1980-09-11,True
Jon,Karlsen,Fredriksenlunden 22,Saraborg,4958,Norge,NO,19780405-5827,+47,436 38 459,1978-04-05,True
Asbjørn,Knudsen,Simonsenringen 411,Bakken,3676,Norge,NO,19971109-3532,+47,93167614,1997-11-09,True
Melissa,Moss,Russell Union 74587,New Ronald,16932,Danmark,DK,19790215-7755,+45,(369)228-4138x2943,1979-02-15,True
Olav,Iversen,Sæthertunet 3,Hegeodden,8948,Norge,NO,19960626-8251,+47,421 85 601,1996-06-26,True
Lauren,Owens,Jackson Way 688,Port Dakotaport,57878,Danmark,DK,19970131-2546,+45,243-818-0166x438,1997-01-31,True
Rolf,Li,Skogsvägen 1,Stockholm,47235,Sverige,SE,19430918-1177,+46,08-77 20 32,1943-09-18,True
Jonathan,Olsson,Kyrkgatan 5,Örnsköldsvik,92492,Sverige,SE,19861010-0219,+46,074-158 93 67,1986-10-10,False
Kari,Arnesen,Strømlia 1,Groeid,8825,Norge,NO,19730905-6329,+47,96296577,1973-09-05,True
April,Luna,Scott Dam 7616,Lake Chelseabury,31941,Danmark,DK,19561109-9187,+45,982.425.2029,1956-11-09,True
Mira,Öberg,Idrottsvägen 3,Karlskrona,20934,Sverige,SE,19960826-0178,+46,068-414 64 01,1996-08-26,True
Lars,Andersson,Industritorget 277,Uddevalla,20705,Sverige,SE,19600921-8802,+46,+46 (0)8 478 525 90,1960-09-21,True
Sofie,Myklebust,Martinsenholtet 7,Aasen,5250,Norge,NO,19990703-8789,+47,97 77 81 83,1999-07-03,True
Hannah,Andersson,Järnvägstorget 057,Göteborg,54967,Sverige,SE,19820322-6082,+46,+46 (0)8 002 411 86,1982-03-22,True
Fredrik,Madsen,Sørensengata 926,Marieid,7077,Norge,NO,19700120-4529,+47,26 16 45 62,1970-01-20,True
Lovisa,Sjögren,Skolgatan 94,Umeå,27982,Sverige,SE,19400101-7858,+46,08-908 039 84,1940-01-01,True
Angelica,Smith,Nunez Glens 49717,Joantown,57358,Dlnmark,DK,19971108-7734,+45,001-474-785-2791x500,1997-11-08,True
Ivar,Karlsen,Strømekra 7,Nielsen,9792,Norge,NO,19401022-5564,+47,448 50 061,1940-10-22,True
Monica,Vallin,Villagatan 03,Umeå,70897,Sverige,SE,19950727-9614,+46,003-10 68 96,1995-07-27,True
Steven,Gordon,Hays Track 49956,New Tiffany,05931,Danmark,DK,19890916-2827,+45,001-919-579-0438x395,1989-09-16,True
Susan,Morris,Figueroa Islands 75760,North Blakemouth,20750,Danmark,DK,19401212-9823,+45,+1-813-510-2951x3474,1940-12-12,True
Arild,Nielsen,Danielsenåsen 7,Berg,3268,Norge,NO,19620623-2689,+47,40967693,1962-06-23,True
Charlotta,Ljung,Aspvägen 382,Falun,64843,Sverige,SE,19870309-8061,+46,+46 (0)8 472 204 52,1987-03-09,True
Ellen,Ruud,Solheimspranget 03,Knutsen,5888,Norge,NO,19501003-1097,+47,03339964,1950-10-03,True
Kalle,Norgren,Gengränd 88,Halmstad,89367,Sverige,SE,19940608-8388,+46,0666-62 63 55,1994-06-08,True
Carina,Sjödin,Parkstigen 682,Borlänge,12971,Sverige,SE,19610718-0526,+46,0729-72 23 98,1961-07-18,True
Lennart,Svensson,Åkergatan 825,Norrköping,95376,Sverige,SE,19900622-8224,+46,08-533 425 35,1990-06-22,True
Vilde,Paulsen,Madsenlia 24,Tangen,3120,Norge,NO,19970821-2852,+47,00261086,1997-08-21,True
Lauri,Rautiainen,Fabianintie 39,Taivassalo,81691,Finland,FI,19650929-813F,+358,+358972180855,1965-09-29,True
Ulrika,Bengtsson,Genstigen 4,Falun,52288,Sverige,SE,19570501-0561,+46,078-774 27 44,1957-05-01,True
Henrik,Ek,Furugatan 29,Kalmar,42753,Sverige,SE,19411124-0201,+46,024-522 49 82,1941-11-24,True
Anniina,Paananen,Ylipalonpolku 4,Kitee,16974,Finland,FI,19840125-326N,+358,008 796 4833,1984-01-25,True
Daniella,Eklöf,Parkvägen 294,Umeå,40016,Sverige,SE,19860724-9463,+46,08-48 52 80,1986-07-24,True
Christopher,Gilbert,Wilson Way 1769,New Crystal,10978,Danmark,DK,19800301-0797,+45,(876)942-6082,1980-03-01,True
Marie,Gunnarsson,Aspvägen 2,Västerås,49992,Sverige,SE,19451023-4765,+46,08-860 94 32,1945-10-23,False
Daniel,Moore,Meredith Squares 6994,Theresaport,32371,Danmark,DK,19770105-4460,+45,778.258.9981,1977-01-05,True
Tyra,Boström,Ekstigen 394,Stockholm,39082,Sverige,SE,19771121-2147,+46,08-88 56 43,1977-11-21,True
Hans,Forsberg,Storgatan 92,Sundsvall,58200,Sverige,SE,19510519-8068,46,08-797 320 83,1951-05-19,True
Karen,Snyder,Adams Junction 69981,Theresamouth,61196,Danmark,DK,19751229-9463,+45,717.474.2649x7801,1975-12-29,True
Louise,Lundblad,Backgatan 22,Malmö,97024,Sverige,SE,19730325-1878,+46,0058-73 49 07,1973-03-25,True
Brent,Woodward,Blake Ranch 3126,Port Stephanietown,80917,Finland,DK,19550114-2841,+45,001-565-673-4494,1955-01-14,True
Heather,Paul,Natasha Causeway 30428,New Wendy,03011,Danmark,DK,19680315-0917,+45,(579)617-9121,1968-03-15,True
Catherine,Ferguson,Johnson Pass 1277,East Hunterville,63680,Danmark,DK,19640727-1987,+45,520.813.0426,1964-07-27,True
Daniel,Olsson,Kvarntorget 44,Eskilstuna,61996,Sverige,SE,19580525-7115,+46,08-953 173 23,1958-05-25,True
Eivor,Bengtsson,Asptorget 993,Lund,12468,Sverige,SE,19680827-8177,+46,0820-523 85,1968-08-27,True
Andreas,Andresen,Ahmedløkka 11,Rolfhamn,7545,Norge,NO,19901214-3736,+47,+4732418525,1990-12-14,True
Carina,Hallin,Kyrkstigen 913,Trelleborg,58923,Sverige,SE,19751002-7598,+46,+46 (0)61 60 27 98,1975-10-02,True
Roar,Eide,Haugenvika 1,Elinhamn,9900,Norge,NO,19960310-8056,+47,56923952,1996-03-10,True
Travis,Williams,Craig Center 352,North Christopherland,96570,Danmark,DK,19880113-4447,+45,302-754-7921,1988-01-13,True
Brittany,Edwards,Smith Fork 36985,Jacksonport,44385,Danmark,DK,19580321-7819,+45,001-211-633-0944x36079,1958-03-21,True
Linnea,Hansson,Parkgatan 69,Malmö,85921,Sverige,SE,19780924-4996,+46,069-916 51 12,1978-09-24,True
Daniel,Diaz,Smith Views 69233,Lewisfort,10444,Danmark,DK,19481028-4498,+45,262-984-5548x94609,1948-10-28,True
Jonas,Öberg,Ringstigen 561,Kristianstad,79020,Sverige,SE,19420917-8778,+46,038-31 24 09,1942-09-17,True
Øyvind,Eide,Rønninglyngen 1,Nygård,4604,Norge,NO,19650701-2092,+47,47429647,1965-07-01,True
Åse,Evensen,Amundsenrøa 7,Rogerfjord,8898,Norge,NO,19701129-3082,+47,41933299,1970-11-29,True
Ole,Jørgensen,Ruudhagen 2,Haraldhamn,8958,Norge,NO,19790110-0082,+47,68 21 79 76,1979-01-10,True
Cecilie,Andresen,Larsenvollen 5D,Karlø,0370,Norge,NO,19721004-2927,+47,68523198,1972-10-04,True
Heidi,Christensen,Jenssenstien 8,Joakimstad,4964,Norge,NO,19850112-9452,+47,95272646,1985-01-12,True
Alex,Donovan,James Trail 0230,Greenton,73292,Danmark,DK,19890404-9691,+45,+1-438-834-9103x5635,1989-04-04,True
Edwin,Rosén,Nygatan 851,Lidingö,12252,Sverige,SE,19651107-9895,+46,+46 (0)88 81 93 53,1965-11-07,True
Stig,Holmberg,Fabriksstigen 33,Norrköping,88553,Sverige,SE,19950622-1414,+46,0752-484 55,1995-06-22,True
Kauko,Rantala,Ylätuvantie 125,Kuusamo,99756,Finland,FI,19660922-825J,+358,+358 970457210,1966-09-22,True
Kristina,Bolin,Nyvägen 42,Karlskoga,35897,Sverige,SE,19670817-1666,+46,0558-64 92 75,1967-08-17,True
Victoria,Robertson,Horne Lake 2784,South Pattyberg,45915,Danmark,DK,19630917-6964,+45,610-722-7440,1963-09-17,True
Belinda,Porter,Erica Green 8241,Yangton,95048,Danmark,DK,19621009-9982,+45,336.239.7379,1962-10-09,True
Jimmy,Simonsson,Parkvägen 954,Sundsvall,49490,Sverige,SE,19491021-3425,+46,+46 (0)8 204 541 32,1949-10-21,True
Kathleen,Meyer,Rangel Oval 944,Johnsonbury,93852,Danmaxk,DK,19600317-9290,+45,001-773-813-8039x1796,1960-03-17,True
Helga,Engström,Idrottstorget 83,Piteå,29050,Sverige,SE,19861011-1618,+46,08-493 217 83,1986-10-11,True
Meghan,Mason,John Fords 69272,Lake Janet,21245,Danmark,DK,19940913-5409,+45,(830)483-7999,1994-09-13,True
Gustav,Andersson,Furutorget 173,Göteborg,89443,Sverige,SE,19570413-5306,+46,0606-396 88,1957-04-13,True
Johanna,Carlsson,Järnvägsgatan 704,Sandviken,60208,Sverige,SE,19750106-7909,+46,+46 (0)8 345 883 63,1975-01-06,True
Glenn,Castro,Lori Shore 96203,Browninghaven,01791,Danmark,DK,19870516-0617,+45,899-997-3350x0164,1987-05-16,True
Juhani,Nieminen,Järkälekuja 665,Kökar,18032,Finland,FI,19811009-645M,+358,+358019762677,1981-10-09,True
Michael,Ray,Joseph Trafficway 5738,New Jennifertown,14814,Danmark,DK,19730804-4053,+45,001-235-637-8768x62441,1973-08-04,True
Anna,Johansson,Nystigen 8,Halmstad,83360,Sverige,SE,19421019-7119,+46,+46 (0)8 061 130 18,1942-10-19,True
Niklas,Ekstrand,Ektorget 695,Skellefteå,75102,Sverige,SE,19781015-7916,+46,090-512 32 98,1978-10-15,True
Ann,Larsson,Furugatan 941,Mölndal,87329,Sverige,SE,19620526-7082,+46,08-032 79 97,1962-05-26,True
Joel,Gomez,Alex Lake 63581,Nixonhaven,96313,Danmark,DK,19590614-7375,+45,001-681-670-4511x8161,1959-06-14,True
Emanuel,Jakobsson,Strandvägen 525,Kristianstad,92086,Sverige,SE,19870915-2254,+46,047-911 62 31,1987-09-15,True
Karin,Haug,Edvardsenåsen 87,Abrahamsen,7928,Norge,NO,19541129-8397,+47,995 45 863,1954-11-29,True
Edith,Karlsson,Björkvägen 9,Lund,44005,Sverige,SE,19810427-0056,+46,08-62 02 97,1981-04-27,True
Jacob,Davila,Charles Summit 5269,Lake Karen,41758,Danmark,DK,19900613-9005,+45,674.903.5225,1990-06-13,True
Veronica,Carlsson,Skogstorget 50,Nyköping,64302,Sverige,SE,19740916-9834,+46,08-74 16 19,1974-09-16,True
Henry,Asplund,Skolvägen 1,Borås,69058,Sverige,SE,19620103-2787,+46,08-982 309 15,1962-01-03,True
Pia,Niskanen,Tahtibulevardi 49,Huittinen,78808,Finland,FI,19470331-653S,+358,077 887 4906,1947-03-31,True
Veera,Saarinen,Harakkamyllynkuja 136,Eckerö,95977,Finland,FI,19920716-4492,+358,+358589979895,1992-07-16,True
Solveig,Abrahamsen,Danielsenløkka 780,Grethemark,3153,Norge,NO,19970111-5423,+47,42371862,1997-01-11,True
Marit,Jenssen,Solbergstien 2,Johannessen,0370,Norge,NO,19561006-8886,+47,923 17 144,1956-10-06,True
Unni,Ali,Jacobsenholtet 8,Erikmark,4463,Norge,NO,19900713-7787,+47,71363843,1990-07-13,True
Katarina,Larsson,Aspgränd 945,Norrköping,16710,Sverige,SE,19730120-0517,+46,058-225 27 96,1973-01-20,True
Olivia,Svensson,Skolstigen 0,Helsingborg,81044,Sverige,SE,19980920-7240,+46,08-322 38 23,1998-09-20,True
Carl,Ahmed,Ektorget 781,Motala,75847,Sverige,SE,19530203-3251,+46,+46 (0)8 552 544 16,1953-02-03,True
Julia,Ericsson,Björkvägen 83,Karlskrona,97005,Sverige,SE,19700202-7247,+46,+46 (0)354 415 12,1970-02-02,True
Brandon,Rose,Johnny Drive 661,Ferrelltown,94925,Danmark,DK,19610713-3504,+45,001-462-744-1721x312,1961-07-13,True
Johan,Eriksson,Kyrkgatan 07,Sundsvall,93145,Sverige,SE,19931018-6143,+46,097-59 86 44,1993-10-18,True
Michael,Sanders,Michael Burg 03000,Dennisstad,99337,Danmark,DK,19800605-5347,+45,285-573-4485x0888,1980-06-05,True
Mark,Garcia,Jennifer Plaza 7045,Lake Victoriamouth,82011,Danmark,DK,19710504-8904,+45,683.270.4815x8204,1971-05-04,True
Malin,Eliasson,Strandgatan 89,Trelleborg,40047,Sverige,SE,19471130-2973,+46,08-76 47 79,1947-11-30,True
Harri,Lindqvist,Niitynperänpolku 89,Outokumpu,04766,Finland,FI,19670513-133A,+358,055 598 3494,1967-05-13,True
Peter,Holm,Aspgatan 5,Alingsås,63655,Sverige,SE,19460606-5652,+46,+46 (0)8 232 571 75,1946-06-06,True
Bryan,Gonzales,Henderson Trafficway 923,Tuckerfort,32521,Danmark,DK,19400719-5172,+45,+1-986-346-6582x74143,1940-07-19,True
David,Lam,Timothy Manor 8430,Lake Pamela,87450,Danmark,DK,19731113-5934,+45,+1-776-216-1507x902,1973-11-13,True
Laura,Hall,Strandvägen 599,Uppsala,23774,Sverige,SE,19860521-6687,+46,+46 (0)93 03 59 10,1986-05-21,True
Ida,Andersson,Björktorget 27,Motala,26606,Sverige,SE,20000408-1873,+46,+46 (0)8 452 435 67,2000-04-08,True
Erik,Pakarinen,Tahtipolku 0,Askola,43868,Finland,FI,19890707-587X,+358,+358 71 3848558,1989-07-07,True
Sara,Svahn,Granstigen 6,Trollhättan,68984,Sverige,SE,19540526-8947,+46,035-03 83 90,1954-05-26,True
Eva,Edman,Storgatan 215,Örebro,30206,Sverige,SE,19771020-9803,+46,08-713 30 06,1977-10-20,True
Margareta,Ström,Fabriksgatan 75,Västerås,39509,Sverige,SE,19680720-0102,+46,0519-19 16 84,1968-07-20,True
